pathway,T1_D1_DP1,T2_D2_DP2,CA_DP2,T2_D0_DP1,T4_D1_DP2,T1_D1_DP3,T1_D3_DP2,T2_D3_DP2,CC_DP2,T2_D3_DP3,T2_D2_DP1,T1_D2_DP1,T4_D0_DP1,T4_D1_DP3,T3_D0_DP1,T2_D3_DP1,T1_D0_DP1,CC_DP1,T5_D3_DP3,CC_DP3,T2_D1_DP2,CB_DP3,T1_D2_DP2,CA_DP1,T4_D3_DP1,T5_D2_DP3,T3_D2_DP2,T5_D2_DP2,T5_D3_DP2,T3_D3_DP1,T4_D3_DP3,T2_D1_DP3,T4_D1_DP1,T1_D2_DP3,T4_D2_DP1,CA_DP3,T5_D2_DP1,T5_D1_DP3,CB_DP1,T3_D2_DP3,T5_D0_DP1,T3_D3_DP3,T3_D3_DP2,T3_D1_DP2,T1_D3_DP1,CB_DP2,T3_D2_DP1,T5_D1_DP1,T4_D3_DP2,T3_D1_DP3,T4_D2_DP3,T3_D1_DP1,T4_D2_DP2,T5_D3_DP1,T5_D1_DP2,T1_D3_DP3,T2_D1_DP1,T2_D2_DP3,T1_D1_DP2
1CMET2-PWY,10341.18817,64861.34665,43646.69277,100764.4029,67023.33993,3925.251075,42589.83525,70239.38895,68125.04372,72500.72147,45034.66277,1737.475184,95076.10701,90694.2739,82017.48509,70420.45384,27891.37457,138771.021,117302.8082,95519.82962,91925.51114,86579.90542,10591.64581,119135.6957,90891.56889,103450.1314,93250.82817,69897.59347,62405.04693,76597.82816,96440.8841,119587.0313,85039.01796,25725.54719,80628.8421,114646.741,74626.6369,72716.71866,75329.20374,113942.1493,140428.954,85680.18169,116630.8722,73043.42236,136398.5981,52185.35139,33476.19006,85658.70085,104693.2699,116087.8957,79622.08216,108064.0593,84108.61549,79776.74122,72653.27323,124158.4265,10346.92521,93799.73192,33345.39608
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,663.8409783,1941.569138,1660.575401,21463.48457,1138.216009,395.6340724,1294.440122,1760.154978,2791.107055,806.1835065,6470.587104,90.65133324,23916.65095,356.4328812,14919.31107,8419.911387,278.1908745,25307.40912,539.5459808,2419.927385,2768.188449,518.6045152,184.4470683,15511.78551,16999.29912,3031.015953,1375.043258,1568.503728,2059.300098,16673.91025,325.8429909,1447.07038,14071.16637,173.2223674,16360.03306,607.3270134,15768.95419,383.0261308,10416.90505,379.7890479,27828.4493,795.0875117,10793.98592,781.7744874,20986.03289,2355.768688,5318.053409,15675.49518,1486.121372,420.8381507,235.0111453,18238.86764,1468.086175,16683.55258,2054.809476,727.966751,1021.526128,558.6749622,411.3553145
AEROBACTINSYN-PWY,329.5723014,11.57894737,5.625,43.17995409,252.9155313,9.485884101,9.48131685,14.93617021,40.9478746,103.3213703,6.213645012,35.91836735,134.8121912,53.36987439,241.9391203,16.06076693,1.331482741,72.83453602,112.6898955,39.70922016,36.28500529,55.29780564,138.4905396,162.3410478,176.0244087,145.3489816,36.3889834,48.3632659,26.88,75.8520003,65.92692828,78.76062162,251.7668663,16.00589102,398.79876,94.52372583,251.0460299,82.33459568,23.91752577,91.65164754,391.1012721,24.89061489,361.0627319,47.12224592,93.68415734,3.621928166,92.44393144,250.9215752,36.70477272,56.15141956,73.55089126,310.7450642,48.11412622,183.1303472,18.49557522,37.79487179,187.4423001,49.94594595,30233.81484
ALL-CHORISMATE-PWY,2098.809361,1092.812712,1725.599795,8102.367238,1016.937469,683.2980966,1014.064088,1365.226226,2463.870331,770.3822481,3112.803899,427.9556386,7594.800395,32.18087796,6261.521515,5507.399104,2356.152502,11399.49497,192.0894082,3873.639929,912.4225567,222.2479567,632.7282037,3536.409439,8481.142664,1765.251282,456.0668312,515.858073,2267.854633,7855.42876,168.7217882,1047.453354,7742.216646,1010.754331,7232.937669,670.7222517,7605.35328,103.1747192,5629.791772,103.5301234,14468.40279,521.0983535,8929.172456,154.5091695,10771.76145,2012.838558,3727.020695,6536.75775,995.6304487,174.2026393,109.95898,9819.712195,732.1358413,6748.160609,1118.214281,169.5515926,102.5303227,77.70235493,2428.006317
ANAEROFRUCAT-PWY,9804.423674,49621.11156,33165.77417,89588.50102,59899.95716,3182.886656,31833.52352,52307.29925,50883.38929,45565.21363,35437.09809,1611.471472,81449.25568,63574.46993,68730.42552,53673.8914,20698.07149,120637.8142,72732.2631,66654.9323,71294.87177,63821.61185,12854.96314,115993.7152,74198.37729,63859.31553,73717.34437,53214.65779,45363.13141,62539.45645,65426.19596,77450.72571,69193.61834,13859.52439,65953.32533,81655.32145,62425.32941,43417.36972,61936.67357,80771.55156,117738.6904,69722.55233,92420.69129,57463.86136,109269.1634,41558.7344,27825.91354,71749.07573,80937.20059,78566.34495,56760.94342,90459.76013,64899.87851,66950.53917,56343.95113,80735.64532,7065.229001,53779.89603,11123.65487
ANAGLYCOLYSIS-PWY,13932.38393,66387.15075,46956.31943,97144.08105,88798.30068,4765.938884,43800.49957,70064.05713,69171.17937,64905.15886,40640.26993,1930.770308,84424.09397,79519.40724,76474.44536,65642.43611,26871.95055,131931.6616,97306.27587,90217.85703,90934.92504,86904.14321,21621.27501,133506.6997,87947.70733,84606.71425,98767.04015,73057.49252,63444.68119,75266.6281,83991.14731,111679.1435,81656.74481,31754.14537,78046.43331,113047.3864,70863.7234,61885.36372,71276.65742,102826.0861,133208.5507,92401.10199,109344.3649,76090.9592,129692.8735,57715.71709,33656.77271,76764.26821,111971.5767,102585.1428,73292.06276,102133.062,92350.3,74311.46163,77791.00023,113905.9986,9085.757908,85322.85482,15818.08298
ARG+POLYAMINE-SYN,5776.829956,16807.21098,12270.34769,41683.74822,19691.79214,1203.437377,12174.8596,19006.88891,21663.13517,19712.5923,19152.94851,601.3418311,39446.07969,18254.96587,32501.84227,30368.31341,8766.391047,54733.57268,22348.29599,25093.86109,24178.4867,22605.59679,4027.336616,53678.82635,34512.10792,21777.55793,23940.97577,19470.67675,18477.20718,32060.51563,18959.35905,29274.14593,30032.4306,5140.644595,33656.41819,27140.13069,30523.61765,14509.91588,34549.2944,22990.62982,58473.22819,20862.31361,50176.32728,17798.21598,53043.28562,16450.9773,12912.37031,34320.76925,26891.17933,22530.81493,17293.44637,41237.03548,20748.06955,34866.35664,19871.29884,24207.0074,3000.055264,19134.54073,10143.21919
ARGDEG-PWY,52.01345304,0,0,40.8740116,5.201410857,9.212796766,0,2.624777124,3.306996829,17.46972091,0,43.89979419,0,0,29.73079438,4.093482309,176.1798015,110.2637375,0,0.780263735,12.87178225,3.817690419,41.07307695,0,0,0,2.082524397,0,0,0,0,17.1956917,13.41033667,93.69421789,5.751458254,0,30.7409668,0,0,0,54.37827506,0,18.00393691,6.998358975,57.24857568,0,138.941326,21.06900604,0,8.36797011,1.09236995,1.159731368,21.934919,502.1060366,11.78039232,8.198878277,329.6974325,0,607.5774019
ARGORNPROST-PWY,2068.416643,498.2100828,594.0000503,4851.165179,931.5273308,1850.311704,289.7229251,524.1776368,759.6530162,5168.401074,210.6934666,489.1022931,1522.680259,402.3156602,2847.855476,528.0279343,1768.510518,7905.826328,832.8510835,593.3528721,698.1985492,558.6723905,568.4258852,3783.061354,1845.866718,1022.002369,853.0437331,983.0996579,582.0144843,2188.562664,523.844009,6564.633918,2286.288613,8129.605391,2921.443454,891.1966229,2337.458982,652.9912832,470.2461413,759.0749338,4825.868428,611.4131849,2288.608133,637.2098398,2603.67124,497.1691416,1742.157011,2026.291227,959.1455931,576.2886769,1697.50215,2715.383638,829.0687908,3772.075928,640.6404243,852.3756867,1733.888712,1989.338712,8642.771242
ARGSYN-PWY,11864.08963,70342.61265,47065.65151,84293.59853,81552.77699,3663.595859,45709.64625,74829.62625,71976.18203,58716.82657,43110.02067,1557.2542,77778.00078,75740.70296,70132.11158,67636.51912,21368.76889,113824.0519,87966.34997,82349.23804,96160.59411,79747.05288,17958.0616,129956.4331,78710.84957,73771.99982,109624.2004,76661.60493,70856.83021,65484.93728,77582.164,94671.43459,73797.48443,23153.16534,68961.9823,101798.6315,63213.82988,54097.13376,71684.02588,96585.1842,119331.408,94780.59565,115659.544,77411.08868,122685.9117,58150.83958,28936.54417,73833.30582,114547.6189,92413.94941,69796.88612,93610.36976,91878.73879,68464.18561,84677.92832,97804.69359,8845.521272,74446.30384,33903.36539
